ID,Station Name,River Basin  ,County,Longitude  ,Latitude,Elevation Feet,Operator,Map
ADM,ADIN MOUNTAIN,PIT R,MODOC,-120.792,41.237,6200,Natural Resources Conservation Service, 
AGP,AGNEW PASS,SAN JOAQUIN R,MADERA,-119.143,37.7244,9450,CA Dept of Water Resources/Flood Management, 
ALP,ALPHA (SMUD),AMERICAN R,EL DORADO,-120.21565,38.80419,7600,Sacramento Municipal Utility District,  N / A 
BCB,BLACKCAP BASIN,KINGS R,FRESNO,-118.77,37.067,10300,CA Dept of Water Resources/Snow Surveys, 
BCH,BEACH MEADOWS,KERN R,TULARE,-118.29346,36.12609,7650,CA Dept of Water Resources/Snow Surveys,  N / A 
BFL,BIG FLAT,TRINITY R,TRINITY,-122.942,41.08,5100,US Bureau of Reclamation, 
BGP,BIG PINE CREEK,OWENS R,INYO,-118.47816,37.12786,9800,CA Dept of Water Resources/Snow Surveys,  N / A 
BIM,BIG MEADOWS (DWR),KINGS R,TULARE,-118.84343,36.71537,7600,CA Dept of Water Resources/Snow Surveys,  N / A 
BKL,BUCKS LAKE,FEATHER R,PLUMAS,-121.242,39.85,5750,CA Dept of Water Resources/O & M, 
BLA,BLACKS MOUNTAIN,PIT R,LASSEN,-121.19972,40.76984,7050,CA Dept of Water Resources/Snow Surveys,  N / A 
BLC,BLUE CANYON,AMERICAN R,PLACER,-120.70871,39.28011,5280,US Bureau of Reclamation, 
BLD,BLOODS CREEK,STANISLAUS R,ALPINE,-120.033,38.45,7200,US Bureau of Reclamation, 
BLK,BLUE LAKES,MOKELUMNE R,ALPINE,-119.931,38.613,8000,Natural Resources Conservation Service, 
BLS,BLACK SPRINGS,STANISLAUS R,CALAVERAS,-120.192,38.375,6500,US Bureau of Reclamation, 
BMW,BIG MEADOWS (SCS),TRUCKEE R,State of Nevada,-119.946,39.458,8700,Natural Resources Conservation Service,  N / A 
BNK,BONANZA KING,TRINITY R,TRINITY,-122.628,41.083,6450,US Bureau of Reclamation, 
BSH,BISHOP PASS,KINGS R,FRESNO,-118.557,37.1,11200,CA Dept of Water Resources/Snow Surveys, 
BSK,BURNSIDE LAKE,CARSON R,ALPINE,-119.8942,38.7194,8129,Natural Resources Conservation Service, 
CAP,CAPLES LAKE,AMERICAN R,ALPINE,-120.042,38.71,8000,US Bureau of Reclamation, 
CBT,CRABTREE MEADOW,KERN R,TULARE,-118.34795,36.56368,10700,CA Dept of Water Resources/Snow Surveys,  N / A 
CDP,CEDAR PASS,PIT R,MODOC,-120.303,41.583,7100,Natural Resources Conservation Service, 
CHM,CHILKOOT MEADOW,SAN JOAQUIN R,MADERA,-119.49,37.41,7150,US Bureau of Reclamation, 
CHP,CHAGOOPA PLATEAU,KERN R,TULARE,-118.44672,36.49714,10300,CA Dept of Water Resources/Snow Surveys,  N / A 
CRL,CHARLOTTE LAKE,KINGS R,FRESNO,-118.42661,36.77773,10400,CA Dept of Water Resources/Snow Surveys,  N / A 
CSL,CENT SIERRA SNOW LAB,YUBA R,NEVADA,-120.367,39.325,6900,Natural Resources Conservation Service, 
CSV,CASA VIEJA MEADOWS,KERN R,TULARE,-118.27163,36.19844,8300,CA Dept of Water Resources/Snow Surveys,  N / A 
CWD,COTTONWOOD LAKES,OWENS R,INYO,-118.17755,36.48383,10150,CA Dept of Water Resources/Snow Surveys,  N / A 
CWF,CROWDER FLAT,KLAMATH R,MODOC,-120.7519,41.8934,5100,Natural Resources Conservation Service, 
CXS,CARSON PASS,AMERICAN R,ALPINE,-120.0021,38.6924,8353,Natural Resources Conservation Service, 
DAN,DANA MEADOWS,TUOLUMNE R,TUOLUMNE,-119.257,37.897,9800,CA Dept of Water Resources/Snow Surveys, 
DDM,DEADMAN CREEK,STANISLAUS R,TUOLUMNE,-119.65411,38.3316,9250,CA Dept of Water Resources/Flood Management,  N / A 
